Date,Price,Open,High,Low,Vol.,Change %
18-Dec-19,"1,489.90","1,491.60","1,494.80","1,486.00",3.25K,-0.13%
17-Dec-19,"1,491.90","1,491.60","1,495.80","1,490.00",1.38K,0.02%
16-Dec-19,"1,491.60","1,491.40","1,494.70","1,488.70",3.09K,-0.05%
13-Dec-19,"1,492.30","1,481.80","1,493.20","1,476.50",3.48K,0.62%
12-Dec-19,"1,483.10","1,490.70","1,502.20","1,479.90",3.97K,-0.18%
11-Dec-19,"1,485.80","1,478.50","1,493.00","1,478.20",13.73K,0.47%
10-Dec-19,"1,478.80","1,475.60","1,483.50","1,475.50",4.94K,0.22%
09-Dec-19,"1,475.60","1,476.00","1,480.20","1,474.20",4.77K,-0.01%
06-Dec-19,"1,475.80","1,491.30","1,495.40","1,474.10",5.04K,-1.19%
05-Dec-19,"1,493.60","1,492.20","1,495.90","1,488.40",2.35K,0.20%
04-Dec-19,"1,490.60","1,494.00","1,500.20","1,487.30",2.70K,-0.28%
03-Dec-19,"1,494.80","1,477.90","1,498.00","1,476.00",7.54K,1.04%
02-Dec-19,"1,479.40","1,478.20","1,481.80","1,470.30",9.94K,-0.26%
29-Nov-19,"1,483.20","1,473.40","1,483.30","1,469.60",2.65K,1.43%
28-Nov-19,"1,462.25","1,463.25","1,464.55","1,460.75",-,-0.60%
27-Nov-19,"1,471.10","1,477.50","1,477.60","1,469.50",3.62K,-0.45%
26-Nov-19,"1,477.80","1,470.90","1,479.90","1,467.30",9.64K,0.21%
25-Nov-19,"1,474.70","1,477.60","1,479.40","1,471.70",5.60K,-0.44%
22-Nov-19,"1,481.20","1,482.20","1,490.40","1,479.10",11.90K,0.01%
21-Nov-19,"1,481.10","1,492.00","1,492.90","1,480.00",3.14K,-0.70%
20-Nov-19,"1,491.50","1,492.50","1,496.10","1,484.10",1.83K,-0.01%
19-Nov-19,"1,491.70","1,491.70","1,492.70","1,482.90",2.41K,0.17%
18-Nov-19,"1,489.20","1,484.00","1,490.80","1,474.10",2.75K,0.24%
15-Nov-19,"1,485.70","1,485.40","1,486.80","1,480.00",0.76K,-0.32%
14-Nov-19,"1,490.50","1,481.00","1,492.20","1,479.00",2.30K,0.68%
13-Nov-19,"1,480.40","1,474.70","1,484.50","1,474.70",2.62K,0.66%
12-Nov-19,"1,470.70","1,473.30","1,477.90","1,463.50",2.49K,-0.24%
11-Nov-19,"1,474.20","1,478.30","1,483.90","1,466.00",4.32K,-0.39%
08-Nov-19,"1,480.00","1,486.30","1,490.50","1,473.90",2.09K,-0.24%
07-Nov-19,"1,483.60","1,509.90","1,509.90","1,478.70",6.12K,-1.78%
06-Nov-19,"1,510.50","1,502.20","1,513.00","1,501.70",2.28K,0.64%
05-Nov-19,"1,500.90","1,525.00","1,526.70","1,497.80",4.23K,-1.80%
04-Nov-19,"1,528.40","1,532.70","1,533.00","1,524.90",2.35K,0.00%
