Date,Price,Open,High,Low,Change %
28-Oct-19,55.7,56.55,56.78,55.47,-1.52%
27-Oct-19,56.56,56.62,56.62,56.55,0.12%
25-Oct-19,56.49,55.97,56.59,55.47,0.97%
24-Oct-19,55.95,55.59,56.34,55.26,0.65%
23-Oct-19,55.59,54.06,55.91,53.47,2.85%
22-Oct-19,54.05,53.38,54.62,53.08,1.24%
21-Oct-19,53.39,53.58,54.02,52.73,-0.32%
20-Oct-19,53.56,53.69,53.73,53.48,-0.32%
18-Oct-19,53.73,53.95,54.62,53.36,-0.41%
17-Oct-19,53.95,52.8,54.14,52.66,2.16%
16-Oct-19,52.81,52.98,53.73,52.55,-0.34%
15-Oct-19,52.99,53.55,53.8,52.41,-1.05%
14-Oct-19,53.55,54.81,54.81,52.81,-2.28%
13-Oct-19,54.8,54.88,54.88,54.7,-0.16%
11-Oct-19,54.89,53.91,54.92,53.66,1.80%
10-Oct-19,53.92,52.23,54.12,52.13,3.30%
09-Oct-19,52.2,52.38,53.73,51.42,-0.40%
08-Oct-19,52.41,52.98,53.27,51.84,-1.02%
07-Oct-19,52.95,52.66,54.06,52.61,0.59%
06-Oct-19,52.64,52.77,52.81,52.62,-0.68%
04-Oct-19,53,52.37,53.34,52.06,1.18%
03-Oct-19,52.38,52.45,52.92,51.02,-0.27%
02-Oct-19,52.52,54.09,54.41,52.2,-2.83%
01-Oct-19,54.05,54.24,54.86,53.08,-0.39%
30-Sep-19,54.26,56.06,56.16,54.02,-3.25%
29-Sep-19,56.08,56.39,56.41,56.02,-0.16%
27-Sep-19,56.17,56.24,56.77,54.77,-0.23%
26-Sep-19,56.3,56.77,56.86,55.45,-0.78%
25-Sep-19,56.74,56.84,57.04,55.66,-0.16%
24-Sep-19,56.83,58.35,58.51,56.71,-2.66%
23-Sep-19,58.38,58.73,58.89,57.44,-0.58%
22-Sep-19,58.72,59.27,59.27,58.69,0.53%
20-Sep-19,58.41,58.83,59.27,57.97,-0.78%
19-Sep-19,58.87,58.09,59.52,58.09,1.31%
18-Sep-19,58.11,58.95,59.43,57.69,-1.36%
17-Sep-19,58.91,61.94,62.59,58.48,-4.80%
16-Sep-19,61.88,61.36,63.37,58.81,0.88%
15-Sep-19,61.34,61.98,63.14,60.12,11.85%
13-Sep-19,54.84,55.16,55.67,54.45,-0.60%
12-Sep-19,55.17,56.2,56.36,54.02,-1.87%
11-Sep-19,56.22,57.97,58.29,55.62,-3.02%
10-Sep-19,57.97,58.2,58.76,57.22,-0.38%
09-Sep-19,58.19,56.88,58.25,56.62,2.30%
08-Sep-19,56.88,56.72,57.12,56.72,0.39%
06-Sep-19,56.66,56.3,56.95,54.86,0.68%
05-Sep-19,56.28,56.05,57.73,55.77,0.41%
04-Sep-19,56.05,53.87,56.61,53.87,4.03%
03-Sep-19,53.88,54.7,55.05,52.91,-1.48%
02-Sep-19,54.69,54.84,55.24,54.38,-0.26%
01-Sep-19,54.83,54.98,55.02,54.58,-0.62%
30-Aug-19,55.17,56.59,56.74,54.61,-2.54%
29-Aug-19,56.61,55.88,56.91,55.47,1.31%
28-Aug-19,55.88,55.62,56.72,55.38,0.45%
27-Aug-19,55.63,53.8,55.74,53.73,3.36%
26-Aug-19,53.82,53.16,55.28,53.13,1.26%
25-Aug-19,53.15,53.3,53.44,53.01,-1.50%
23-Aug-19,53.96,55.53,55.63,53.3,-2.86%
22-Aug-19,55.55,56.02,56.49,54.91,-0.84%
21-Aug-19,56.02,56.24,57.16,55.61,-0.37%
20-Aug-19,56.23,56,56.63,55.22,0.39%
19-Aug-19,56.01,55.21,56.35,54.88,1.43%
18-Aug-19,55.22,54.98,55.27,54.84,0.62%
16-Aug-19,54.88,54.73,55.63,54.25,0.22%
15-Aug-19,54.76,54.94,55.28,53.74,-0.29%
14-Aug-19,54.92,56.77,56.8,53.95,-3.24%
13-Aug-19,56.76,54.83,57.41,54.21,3.58%
12-Aug-19,54.8,54.21,55.13,53.52,1.11%
11-Aug-19,54.2,54.27,54.39,54.16,-0.04%
09-Aug-19,54.22,52.73,54.84,52.33,2.75%
08-Aug-19,52.77,52.23,52.96,51.88,1.03%
07-Aug-19,52.23,53.33,53.69,50.48,-2.03%
06-Aug-19,53.31,53.99,55.34,53.12,-1.24%
05-Aug-19,53.98,55.26,55.52,53.72,-2.33%
04-Aug-19,55.27,55.24,55.28,55.03,0.27%
02-Aug-19,55.12,54.35,55.93,54.26,1.44%
01-Aug-19,54.34,57.49,57.88,53.52,-5.56%
31-Jul-19,57.54,58.16,58.7,57.34,-1.07%
30-Jul-19,58.16,57,58.33,56.88,2.02%
29-Jul-19,57.01,55.88,57.12,55.71,2.02%
28-Jul-19,55.88,56.12,56.2,55.86,-0.30%
26-Jul-19,56.05,55.97,56.42,55.56,0.18%
25-Jul-19,55.95,55.84,56.84,55.68,0.16%
24-Jul-19,55.86,56.92,57.48,55.22,-1.85%
23-Jul-19,56.91,55.97,57.25,55.61,1.72%
22-Jul-19,55.95,56.1,56.87,55.69,-0.25%
21-Jul-19,56.09,56.31,56.31,55.95,0.63%
19-Jul-19,55.74,55.69,56.33,54.98,0.14%
18-Jul-19,55.66,56.53,57.27,54.73,-1.54%
17-Jul-19,56.53,57.58,58.31,56.19,-1.79%
16-Jul-19,57.56,59.44,59.98,57.03,-3.11%
15-Jul-19,59.41,60.08,60.84,59.16,-1.08%
14-Jul-19,60.06,60.23,60.24,60.03,-0.36%
12-Jul-19,60.28,60.36,60.66,59.86,-0.10%
11-Jul-19,60.34,60.41,60.84,60.06,-0.07%
10-Jul-19,60.38,58.55,60.52,58.44,3.09%
09-Jul-19,58.57,57.34,58.59,57.22,2.15%
08-Jul-19,57.34,57.52,58.34,57.21,-0.36%
07-Jul-19,57.55,57.7,57.73,57.49,-0.10%
05-Jul-19,57.61,56.66,57.66,56.18,1.68%
04-Jul-19,56.66,57.26,57.42,56.34,-1.07%
03-Jul-19,57.27,56.42,57.3,55.92,1.54%
02-Jul-19,56.4,58.59,59.27,55.96,-3.72%
01-Jul-19,58.58,59.36,60.11,58.19,-1.35%
30-Jun-19,59.38,59.34,59.78,59.15,2.34%
28-Jun-19,58.02,59.2,59.6,57.59,-1.94%
27-Jun-19,59.17,58.7,59.52,58.42,0.68%
26-Jun-19,58.77,58.61,59.73,58.45,0.31%
25-Jun-19,58.59,57.61,58.63,57.02,1.72%
24-Jun-19,57.6,57.62,57.99,56.56,-0.02%
23-Jun-19,57.61,57.58,57.72,57.41,0.44%
21-Jun-19,57.36,57.23,57.73,56.42,0.31%
20-Jun-19,57.18,54.41,57.53,54.3,5.09%
19-Jun-19,54.41,54.22,54.49,53.28,0.39%
18-Jun-19,54.2,51.86,54.27,51.49,4.55%
17-Jun-19,51.84,52.67,52.72,51.61,-1.56%
16-Jun-19,52.66,52.44,52.7,52.3,0.36%
14-Jun-19,52.47,52.05,52.94,51.67,0.81%
13-Jun-19,52.05,51.17,53.41,50.89,1.66%
12-Jun-19,51.2,52.76,52.76,50.7,-2.98%
11-Jun-19,52.77,53.27,53.99,52.72,-0.96%
10-Jun-19,53.28,54.37,54.48,53.02,-2.02%
09-Jun-19,54.38,54.29,54.77,54.27,0.74%
07-Jun-19,53.98,53.16,54.24,52.56,1.47%
06-Jun-19,53.2,51.53,53.23,51.13,3.20%
05-Jun-19,51.55,52.98,53.33,50.56,-2.70%
04-Jun-19,52.98,53.03,53.69,52.37,-0.08%
03-Jun-19,53.02,52.73,54.53,52.55,0.53%
02-Jun-19,52.74,53.22,53.34,52.06,-0.96%
31-May-19,53.25,55.9,56.12,52.98,-4.55%
30-May-19,55.79,58.95,59.57,55.73,-5.36%
29-May-19,58.95,58.81,59.15,56.8,0.26%
28-May-19,58.8,59.05,59.44,58.52,-0.41%
27-May-19,59.04,58.64,59.11,58.02,0.65%
26-May-19,58.66,58.81,58.88,58.55,-0.37%
24-May-19,58.88,58.06,58.97,57.38,1.43%
23-May-19,58.05,61.21,61.26,57.2,-5.15%
22-May-19,61.2,62.62,62.67,60.89,-2.28%
21-May-19,62.63,63.26,63.62,62.52,-0.96%
20-May-19,63.24,63.4,63.8,62.45,-0.27%
19-May-19,63.41,62.96,63.57,62.96,1.07%
17-May-19,62.74,63.18,63.62,62.53,-0.66%
16-May-19,63.16,62.22,63.45,62.14,1.54%
15-May-19,62.2,61.27,62.31,60.84,1.52%
14-May-19,61.27,60.91,62.08,60.67,0.57%
13-May-19,60.92,61.29,63.3,60.62,-0.62%
12-May-19,61.3,61.61,61.78,61.23,-0.66%
10-May-19,61.71,61.83,62.44,61.39,-0.21%
09-May-19,61.84,61.91,62.16,60.88,-0.11%
08-May-19,61.91,61.52,62.31,61.03,0.65%
07-May-19,61.51,62.23,62.44,60.64,-1.20%
06-May-19,62.26,60.45,62.88,60.01,2.99%
