Date,Price,Open,High,Low,Change %
06-Nov-19,17.631,17.59,17.674,17.37,0.21%
05-Nov-19,17.595,18.055,18.115,17.529,-2.55%
04-Nov-19,18.055,18.13,18.25,17.95,-0.40%
01-Nov-19,18.128,18.115,18.175,17.928,-0.04%
31-Oct-19,18.135,17.885,18.195,17.784,1.45%
30-Oct-19,17.875,17.815,17.982,17.575,0.38%
29-Oct-19,17.808,17.855,17.909,17.591,-0.32%
28-Oct-19,17.865,18.053,18.151,17.779,-1.00%
25-Oct-19,18.045,17.813,18.353,17.773,1.32%
24-Oct-19,17.81,17.567,17.859,17.463,1.39%
23-Oct-19,17.565,17.538,17.633,17.485,0.23%
22-Oct-19,17.525,17.569,17.692,17.416,-0.28%
21-Oct-19,17.575,17.565,17.885,17.499,0.14%
18-Oct-19,17.551,17.552,17.624,17.394,0.01%
17-Oct-19,17.55,17.4,17.669,17.295,0.86%
16-Oct-19,17.4,17.419,17.494,17.148,-0.11%
15-Oct-19,17.42,17.645,17.75,17.34,-1.33%
14-Oct-19,17.655,17.575,17.72,17.413,0.51%
11-Oct-19,17.565,17.51,17.77,17.325,0.31%
10-Oct-19,17.51,17.72,17.903,17.411,-1.30%
09-Oct-19,17.74,17.73,17.971,17.649,0.03%
08-Oct-19,17.735,17.453,17.816,17.263,1.66%
07-Oct-19,17.445,17.635,17.642,17.375,-0.65%
04-Oct-19,17.56,17.564,17.674,17.293,-0.03%
03-Oct-19,17.565,17.583,17.808,17.46,0.00%
02-Oct-19,17.565,17.246,17.698,17.171,1.86%
01-Oct-19,17.245,17.001,17.34,16.878,1.41%
30-Sep-19,17.005,17.529,17.614,16.914,-3.13%
27-Sep-19,17.554,17.81,17.923,17.292,-1.44%
26-Sep-19,17.81,17.927,18.064,17.73,-0.59%
25-Sep-19,17.915,18.625,18.711,17.819,-3.73%
24-Sep-19,18.61,18.635,18.763,18.25,-0.13%
23-Sep-19,18.635,17.962,18.72,17.941,3.53%
20-Sep-19,18,17.79,18.002,17.746,1.18%
19-Sep-19,17.79,17.805,17.96,17.595,0.23%
18-Sep-19,17.75,18.021,18.059,17.519,-1.53%
17-Sep-19,18.025,17.845,18.108,17.737,0.92%
16-Sep-19,17.86,17.445,18.032,17.445,2.44%
13-Sep-19,17.435,18.06,18.213,17.382,-3.70%
12-Sep-19,18.105,18.1,18.491,17.987,0.03%
11-Sep-19,18.1,18.015,18.264,17.888,0.44%
10-Sep-19,18.02,18,18.195,17.767,0.06%
09-Sep-19,18.01,18.19,18.332,17.92,-0.94%
06-Sep-19,18.18,18.66,18.81,17.982,-2.57%
05-Sep-19,18.66,19.58,19.6,18.495,-4.75%
04-Sep-19,19.59,19.26,19.671,19.173,1.69%
03-Sep-19,19.265,18.48,19.306,18.323,4.25%
02-Sep-19,18.48,18.43,18.573,18.253,0.54%
30-Aug-19,18.38,18.265,18.495,18.065,0.60%
29-Aug-19,18.27,18.34,18.675,18.035,-0.49%
28-Aug-19,18.36,18.18,18.531,18.054,0.91%
27-Aug-19,18.195,17.665,18.221,17.624,3.03%
26-Aug-19,17.66,17.612,17.8,17.51,1.26%
23-Aug-19,17.44,17.04,17.497,16.965,2.38%
22-Aug-19,17.035,17.145,17.171,16.92,-0.50%
21-Aug-19,17.12,17.17,17.22,16.983,-0.29%
20-Aug-19,17.17,16.885,17.213,16.852,1.72%
19-Aug-19,16.88,17.115,17.16,16.841,-1.32%
16-Aug-19,17.105,17.275,17.354,17.035,-0.98%
15-Aug-19,17.275,17.21,17.397,17.097,0.35%
14-Aug-19,17.215,16.979,17.338,16.866,1.41%
13-Aug-19,16.975,17.075,17.532,16.555,-0.53%
12-Aug-19,17.065,16.958,17.178,16.803,0.59%
09-Aug-19,16.965,16.905,17.151,16.852,0.35%
08-Aug-19,16.905,17.08,17.221,16.799,-1.20%
07-Aug-19,17.11,16.445,17.263,16.436,3.98%
06-Aug-19,16.455,16.435,16.524,16.348,0.37%
05-Aug-19,16.395,16.22,16.588,16.114,1.08%
02-Aug-19,16.22,16.32,16.364,16.035,-0.70%
01-Aug-19,16.335,16.255,16.394,15.908,0.43%
31-Jul-19,16.265,16.56,16.588,16.193,-1.93%
30-Jul-19,16.585,16.475,16.645,16.389,0.73%
29-Jul-19,16.465,16.404,16.494,16.323,0.41%
26-Jul-19,16.397,16.43,16.536,16.322,-0.08%
25-Jul-19,16.41,16.585,16.672,16.318,-1.11%
24-Jul-19,16.595,16.4,16.656,16.33,1.16%
23-Jul-19,16.405,16.365,16.552,16.165,0.24%
22-Jul-19,16.365,16.245,16.448,16.161,0.93%
19-Jul-19,16.215,16.34,16.605,16.06,-0.80%
18-Jul-19,16.345,15.985,16.372,15.916,2.32%
17-Jul-19,15.975,15.565,16.013,15.516,2.63%
16-Jul-19,15.565,15.395,15.721,15.295,1.17%
15-Jul-19,15.385,15.23,15.425,15.151,1.02%
12-Jul-19,15.23,15.105,15.278,15.036,0.69%
11-Jul-19,15.125,15.245,15.341,15.089,-0.79%
10-Jul-19,15.245,15.11,15.304,15.025,0.89%
09-Jul-19,15.11,15.03,15.153,14.933,0.50%
08-Jul-19,15.035,15.009,15.144,14.946,0.27%
05-Jul-19,14.995,15.28,15.344,14.878,-1.90%
04-Jul-19,15.285,15.328,15.352,15.206,-0.13%
03-Jul-19,15.305,15.32,15.46,15.187,-0.07%
02-Jul-19,15.315,15.14,15.333,15.029,1.12%
01-Jul-19,15.145,15.335,15.34,15.106,-1.13%
28-Jun-19,15.318,15.245,15.353,15.194,0.34%
27-Jun-19,15.265,15.285,15.317,15.151,0.03%
26-Jun-19,15.26,15.361,15.383,15.164,-0.75%
25-Jun-19,15.375,15.435,15.535,15.272,-0.42%
24-Jun-19,15.44,15.364,15.496,15.277,0.51%
21-Jun-19,15.361,15.445,15.575,15.155,-0.41%
20-Jun-19,15.425,15.17,15.534,15.117,1.71%
19-Jun-19,15.165,15.005,15.184,14.903,1.00%
18-Jun-19,15.015,14.845,15.101,14.808,1.15%
17-Jun-19,14.845,14.87,14.926,14.759,-0.24%
14-Jun-19,14.88,14.925,15.142,14.778,-0.47%
13-Jun-19,14.95,14.785,14.995,14.719,1.20%
12-Jun-19,14.773,14.745,14.902,14.714,0.25%
11-Jun-19,14.735,14.705,14.822,14.634,0.27%
10-Jun-19,14.695,15.015,15.028,14.627,-2.13%
07-Jun-19,15.015,14.897,15.174,14.837,0.77%
06-Jun-19,14.9,14.817,15.017,14.738,0.62%
05-Jun-19,14.808,14.827,15.065,14.749,-0.11%
04-Jun-19,14.825,14.798,14.882,14.651,0.27%
03-Jun-19,14.785,14.593,14.849,14.564,1.41%
31-May-19,14.58,14.525,14.704,14.465,0.38%
30-May-19,14.525,14.42,14.595,14.348,0.69%
29-May-19,14.425,14.362,14.502,14.327,0.48%
28-May-19,14.356,14.585,14.615,14.278,-1.67%
27-May-19,14.6,14.574,14.658,14.542,0.21%
24-May-19,14.57,14.59,14.634,14.516,-0.17%
23-May-19,14.595,14.42,14.671,14.404,0.97%
22-May-19,14.455,14.445,14.518,14.378,0.00%
21-May-19,14.455,14.435,14.496,14.358,-0.14%
20-May-19,14.475,14.408,14.502,14.362,0.52%
17-May-19,14.4,14.545,14.576,14.377,-1.13%
16-May-19,14.565,14.785,14.843,14.507,-1.62%
15-May-19,14.805,14.796,14.88,14.744,0.07%
14-May-19,14.795,14.77,14.877,14.718,0.14%
13-May-19,14.775,14.784,14.831,14.603,0.00%
10-May-19,14.775,14.77,14.853,14.728,0.07%
09-May-19,14.765,14.84,14.891,14.678,-0.54%
